rid,title,meaning,likes,views,createdAt,updatedAt
227,shika sikio,kataza mtu kufanya mabaya,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
228,shuka wingu,nyesha,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
229,shuka moyo,kutokuwa na furaha,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
230,si hayati si mamati,hali yake ni mbaya sana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
231,si hayati si mamati,hayumo katika ufu wala uzima,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
232,siku ayami,"siku nyingi, siku kadha",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
233,siku za giza,siku ambazo watu hawakuwa na maendeleo,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
234,siku za mwizi ni arobaini,"mhalifu anaweza kuepuka kukamatwa, lakini siku moja atanaswa",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
235,sijali wala sibali,sijali kamwe,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
236,sina budi kusafiri,lazima nisafiri,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
237,simama tisti,simama bila kuyumbayumba,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
238,sina jicho la kumtazama,naona aibu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
239,soma kwa ghaibu,"soma bila ya kutazama maandishi, soma kwa moyo",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
240,sota kitango malele,"(a)garagara kwa maumivu , (b)tembea kwa matako",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
241,starehe ya mbwa kukalia mkia,starehe ya muda mfupi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
242,subhaanahu wa taala,Mwenyezi Mungu aliyetukuka na aliyetakasika na kila mabaya,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
243,swali la balagha,swali lisilohitaji jibu linaloulizwa kwa nia ya kusisitiza,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
244,taka shufaa,hitaji kusamehewa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
245,tamaa ya fisi,tamaa kali,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
246,tangu awali,tangu mwanzo,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
247,tangu awali hata aheri,kuanzia mwanzo mpaka mwisho,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
248,tasliti hushinda beluwa.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
249,tenge tahanani,fujo au ghasia kubwa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
250,tia fatiha,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
251,tia kasi uzi,sokota uzi ili kupata nyuzi za wavu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
252,toa balaghamu zako,toa hasira zako,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
253,tulingane sawasawa kama sahani na kawa.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
254,tupa jongoo na mti wake,achana na kitu au jambo kwa muda mrefu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
255,ubao wa miliki,ubao unaowekwa sambamba na mkuku wa jahazi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
256,uchungu wa dawa ndio kupona.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
257,"ukiiba, utakwenda kubeba mtondoo.",,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
258,ukipanda upepo utavuna tufani.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
259,umekuwa bodwe,unaharibikia ukubwani?,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
260,umiza moyoni,Alikasirika sana kwa sababu maneno yangu yalimchoma.,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
261,upepo wa yahom!,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
262,usigeuke chachandu kujipalia makaa mwenyewe.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
263,upanga wa jogoo,undu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
264,usiku wa giza,usiku usiokuwa na nuru ya mwezi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
265,utagawiwa mwairo na kila chako kuporwa.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
266,utakiona cha mtema kuni,utajuta,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
267,uteo wa mfiwa,ungo au sinia ya chakula anachopelekewa mfiwa na majirani,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
268,usena wa nyuki si usena,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
269,viatu vya lahaula,viatu vya makubadhi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
270,vika mtu kilemba cha ukoka,-pa mtu sifa asizostahili,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
271,utavuna unachopanda,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
272,wanafanana kama riale kwa ya pili.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
273,wao ni chanda na pete,wanapendana sana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
274,wazawa wachache wana pesa sufufu kama wageni.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
275,weka kinyumba,weka mwanamke kihawara,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
276,"wema mtendee mbuzi, kesho utakunywa mchuzi.",,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
